RANK,TIME,FULL NAME,FOREIGN,AGE,LSC,EVENT,TEAM NAME,MEET NAME,TIME STANDARD,RESULTS,COMPETITION YEAR
60,52.1,"Runnels, Aris",,19,FL,100 FL SCY,University of Florida,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
61,52.12,"Pelaez, Erika",,16,FG,100 FL SCY,Unattached,2022 FL FHSAA Class 1A State Swimming Championships,2023 Summer Nationals (LCM),PROG.,2023
62,52.13,"Parkhe, Annika",,17,IL,100 FL SCY,Unattached,2022 IL IHSA Girls State Championship,2023 Summer Nationals (LCM),PROG.,2023
63,52.2,"Williams, Taylor",,20,MV,100 FL SCY,U. of Missouri,SEC Championships Time Trials,2023 Summer Nationals (LCM),PROG.,2023
63,52.2,"Burt, Maddy",,20,FL,100 FL SCY,Swim Florida,Minnesota Invite,2023 Summer Nationals (LCM),PROG.,2023
65,52.21,"O'Dell, Teagan",,16,CA,100 FL SCY,Unattached,2023 CA OB CIF-SS Trinity League,2023 Summer Nationals (LCM),PROG.,2023
66,52.22,"Larsen, Caroline",,16,MN,100 FL SCY,Foxjets Swim Team,2023 FL NCSA Swimming Championships,2023 Summer Nationals (LCM),PROG.,2023
67,52.23,"Kern, Emma",,17,MN,100 FL SCY,Aquajets Swim Team,2022 Speedo Winter Juniors West,2023 Summer Nationals (LCM),PROG.,2023
68,52.24,"Howley, Tess",,18,MR,100 FL SCY,Long Island Aquatic Club,2023 MR TYR Senior Mets SCY Championships,2023 Summer Nationals (LCM),PROG.,2023
69,52.26,"Brooks, Caitlin",,22,US,100 FL SCY,Unattached,SEC Championships Time Trials,2023 Summer Nationals (LCM),PROG.,2023
69,52.26,"Scott, Morgan",Yes,22,SE,100 FL SCY,University Of Alabama Swim Club,Art Adamson Invitational 2022,2023 Summer Nationals (LCM),PROG.,2023
71,52.27,"Kendall, Brady",,18,US,100 FL SCY,Unattached,2023 Boiler-Make-It Qualification Championship,2023 Summer Nationals (LCM),PROG.,2023
72,52.28,"Jones, Emily",Yes,19,US,100 FL SCY,Unattached,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
73,52.31,"Lu, Sydney",,18,PC,100 FL SCY,Pleasanton Seahawks,2023 Women's Ivy League Championships,2023 Summer Nationals (LCM),PROG.,2023
73,52.31,"Harrison, Tristan",,20,US,100 FL SCY,Unattached,2023 Women's Big Ten Championships,2023 Summer Nationals (LCM),PROG.,2023
75,52.32,"Franz, Karisa",,21,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
76,52.33,"Baron, Sam",,20,US,100 FL SCY,Unattached,Cavalier Invite,2023 Summer Nationals (LCM),PROG.,2023
76,52.33,"McConagha, Mackenzie",,20,US,100 FL SCY,Unattached,2023 NCAA Division I Women's Championship,2023 Summer Nationals (LCM),PROG.,2023
78,52.34,"Cook, Lizzy",,20,US,100 FL SCY,Unattached,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
79,52.36,"Whitaker, Ava",,18,GU,100 FL SCY,Unattached,2023 ST OB UIL 5A State Swimming & Diving Championship,2023 Summer Nationals (LCM),PROG.,2023
80,52.37,"Barrett, Karoline",Yes,20,US,100 FL SCY,Unattached,LOUISVILLE LAST CHANCE,2023 Summer Nationals (LCM),PROG.,2023
81,52.38,"Johnson, Gigi",,18,PC,100 FL SCY,Alto Swim Club,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
82,52.43,"Pelzek, Greta",,20,US,100 FL SCY,Unattached,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
82,52.43,"Bell, Lucy",,18,PC,100 FL SCY,Alto Swim Club,2023 Women's PAC-12 Championship Time Trials,2023 Summer Nationals (LCM),PROG.,2023
84,52.45,"Thamm, Claudia",,21,SE,100 FL SCY,Auburn Aquatics,2023 SEC Championships,2023 Summer Nationals (LCM),PROG.,2023
84,52.45,"Klinker, Rachel",,22,US,100 FL SCY,Unattached,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
84,52.45,"Compagner, Manon",Yes,21,US,100 FL SCY,Unattached,2023 NCAA Division II Championships,2023 Summer Nationals (LCM),PROG.,2023
87,52.47,"Halden, Jenny",Yes,22,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Summer Nationals (LCM),PROG.,2023
88,52.49,"Foelske, Jade",Yes,21,US,100 FL SCY,Unattached,2023 Women's Pac 12 Championships,2023 Summer Nationals (LCM),PROG.,2023
88,52.49,"Walsh, Aislinn",,22,US,100 FL SCY,Unattached,Women Last Chance NCAA Qualifier 2023,2023 Summer Nationals (LCM),PROG.,2023
90,52.51,"Thompson, Emily",,17,NJ,100 FL SCY,Greater Somerset County YMCA Storm,2023 NC YMCA National Short Course Championships,2023 Winter US Open (LCM),PROG.,2023
91,52.52,"Coe, Angie",,18,IL,100 FL SCY,Champaign Cnty YMCA,2023 NC YMCA National Short Course Championships,2023 Winter US Open (LCM),PROG.,2023
91,52.52,"Carozza, Ann",,22,US,100 FL SCY,Unattached,Total Performance Invitational,2022 Winter US Open (LCM),PROG.,2023
91,52.52,"Hartman, Bailey",,17,PC,100 FL SCY,Crow Canyon Sharks,2023 SI CA/NV Speedo Sectionals,2023 Winter US Open (LCM),PROG.,2023
94,52.53,"Bellard, Hannah",,18,MI,100 FL SCY,Club Wolverine,2023 ST Spring Speedo Sectionals,2023 Winter US Open (LCM),PROG.,2023
95,52.54,"Wheal, Emma",,21,PC,100 FL SCY,Alto Swim Club,2023 Women's Pac 12 Championships,2023 Winter US Open (LCM),PROG.,2023
95,52.54,"Douthwright, Brooklyn",Yes,19,US,100 FL SCY,Unattached,Carson Newman University vs University of Tennessee dual Meet,2023 Winter US Open (LCM),PROG.,2023
95,52.54,"Jernstedt, Edith",Yes,21,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Winter US Open (LCM),PROG.,2023
98,52.55,"Gillilan, Renee",,19,US,100 FL SCY,Unattached,2023 ACC Championships,2023 Winter US Open (LCM),PROG.,2023
99,52.56,"Gring, Sydney",,18,MA,100 FL SCY,Boyertown YMCA Navy Seals,2023 NC YMCA National Short Course Championships,2023 Winter US Open (LCM),PROG.,2023
99,52.56,"Schalow, Maggie",,18,CA,100 FL SCY,Irvine Novaquatics,2022 Speedo Winter Juniors West,2023 Winter US Open (LCM),PROG.,2023
1,49.04,"Douglass, Kate",,20,VA,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
2,49.17,"Huske, Torri",,19,PC,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
3,49.18,"MacNeil, Maggie",Yes,22,MI,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
4,49.24,"Curzan, Claire",,17,NC,100 FL SCY,Unattached,2022 NC 4A NCHSAA State Championships,2022 Summer Nationals (LCM),PROG.,2022
5,49.87,"Smith, Regan",,20,PC,100 FL SCY,Unattached,2022 PAC-12 WOMEN'S SWIMMING &,2022 Summer Nationals (LCM),PROG.,2022
6,49.96,"Spector, Ariel",,16,US,100 FL SCY,Unattached,USC vs CAL (Men),2023 Summer Nationals (LCM),PROG.,2022
7,50.24,"Walshe, Ellen",Yes,20,SE,100 FL SCY,Unattached,2021 Tennessee Invitational,2022 Summer Nationals (LCM),PROG.,2022
8,50.29,"Sticklen, Emma",,19,ST,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
9,50.64,"Alons, Kylee",,22,NC,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
10,50.82,"Carter, Olivia",,21,MI,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
11,50.84,"Albiero, Gabi",,20,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
12,50.85,"White, Rhyan",,22,SE,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
13,50.97,"Bray, Olivia",,20,ST,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
14,51.01,"Luther, Dakota",,22,GA,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
15,51.02,"Ulett, Tristen",,19,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
16,51.07,"Wilhelm, Kiley",Yes,17,NC,100 FL SCY,Lifetime Swim Team North Carolina,2022 NC ESSZ Senior SC Sectional,2023 Summer Nationals (LCM),PROG.,2022
17,51.21,"Shackell, Alex",,15,IN,100 FL SCY,Carmel Swim Club,2021 East Speedo Winter Junior,2022 Summer Nationals (LCM),PROG.,2022
18,51.22,"Cuomo, Lexi",,20,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
19,51.26,"Rothrock, Trude",,22,SE,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
20,51.35,"Zenick, Katherine",,20,US,100 FL SCY,Unattached,2022 B1G Women's Championship,2022 Summer Nationals (LCM),PROG.,2022
21,51.38,"Thompson, Sarah",,23,US,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
21,51.38,"Guevara, Miriam",Yes,21,IL,100 FL SCY,Unattached,2022 B1G Women's Championship,2023 Summer Nationals (LCM),PROG.,2022
23,51.46,"Crush, Charlotte",,13,KY,100 FL SCY,Lakeside Swim Team,2022 SE Speedo Southern Premier,2022 Summer Nationals (LCM),PROG.,2022
24,51.62,"Arens, Abby",,19,NC,100 FL SCY,Unattached,2022 ACC Championship,2022 Summer Nationals (LCM),PROG.,2022
25,51.71,"Nava, Jessica",,21,US,100 FL SCY,Unattached,2022 ACC Championship,2022 Summer Nationals (LCM),PROG.,2022
26,51.73,"Vannote, Ellie",,20,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
27,51.76,"Nogaj, Paulina",Yes,23,US,100 FL SCY,Unattached,2022 MAC Women's Swim and Dive,2022 Summer Nationals (LCM),PROG.,2022
27,51.76,"Gillilan, Coleen",,20,US,100 FL SCY,Unattached,Tim Welsh Classic,2023 Summer Nationals (LCM),PROG.,2022
29,51.78,"Jump, Mallory",,20,US,100 FL SCY,Unattached,2022 B1G Women's Championship,2022 Summer Nationals (LCM),PROG.,2022
30,51.8,"D'Arcy, Autumn",,21,CC,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
31,51.81,"Ivey, Isabel",,21,PC,100 FL SCY,Unattached,Minnesota Invite 2021,2022 Summer Nationals (LCM),PROG.,2022
32,51.82,"Hayon, Arielle",Yes,18,US,100 FL SCY,Unattached,2022 C-USA Women's Championshi,2022 Summer Nationals (LCM),PROG.,2022
33,51.83,"Bell, Lucy",,17,CO,100 FL SCY,Fort Collins Area Swim Team,2022 ST TXLA 4C Speedo Section,2023 Summer Nationals (LCM),PROG.,2022
34,51.85,"Kragh, Mia",,18,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
35,51.89,"Stoll, Campbell",,16,WI,100 FL SCY,Unattached,2021 WI OBSERVED WIAA D1 STATE,2022 Summer Nationals (LCM),PROG.,2022
36,51.91,"Wheal, Emma",,20,PC,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
37,51.92,"Russo, Catherine",,19,US,100 FL SCY,Unattached,2022 Last Chance Qualifier-Wom,2022 Summer Nationals (LCM),PROG.,2022
38,51.95,"Pash, Kelly",,20,ST,100 FL SCY,Unattached,Minnesota Invite 2021,2022 Summer Nationals (LCM),PROG.,2022
39,51.98,"Howley, Tess",,16,MR,100 FL SCY,Long Island Aquatic Club,2021 PV NCAP Invitational,2022 Summer Nationals (LCM),PROG.,2022
40,52.03,"Brooks, Caitlin",,21,US,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2023 Summer Nationals (LCM),PROG.,2022
41,52.04,"Jia, Annie",,15,MA,100 FL SCY,Upper Dublin Aquatic Club,2022 MA OB PIAA Girls 3A Swim Meet,2022 Summer Nationals (LCM),PROG.,2022
42,52.06,"Carozza, Ann",,21,MA,100 FL SCY,Unattached,2022 NCAA Division II Champion,2023 Summer Nationals (LCM),PROG.,2022
43,52.08,"Klinker, Rachel",,21,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
44,52.1,"Watson, Sarah",Yes,21,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
44,52.1,"Sheridan, Calypso",Yes,21,US,100 FL SCY,Unattached,Art Adamson Invitational,2022 Summer Nationals (LCM),PROG.,2022
46,52.12,"Beil, Mallory",,21,SE,100 FL SCY,Unattached,2021 Tennessee Invitational,2022 Summer Nationals (LCM),PROG.,2022
47,52.15,"Harter, Abby",,20,VA,100 FL SCY,Unattached,2022 ACC Championship,2023 Summer Nationals (LCM),PROG.,2022
48,52.17,"Theall, Olivia",,20,GU,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
48,52.17,"Dupre, Cora",,20,SE,100 FL SCY,Unattached,2021 Tennessee Invitational,2022 Summer Nationals (LCM),PROG.,2022
50,52.18,"Walsh, Gretchen",,18,SE,100 FL SCY,Unattached,Virginia vs ARMY,2022 Summer Nationals (LCM),PROG.,2022
51,52.19,"Mertins, Luna",Yes,22,US,100 FL SCY,Unattached,2022 NCAA Division II Champion,2022 Summer Nationals (LCM),PROG.,2022
52,52.21,"Sims, Bella",,16,CA,100 FL SCY,Sandpipers Of Nevada,2021 West Speedo Winter Junior,2022 Summer Nationals (LCM),PROG.,2022
53,52.22,"Stotler, Sara",,18,SE,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2023 Summer Nationals (LCM),PROG.,2022
54,52.23,"Franz, Karisa",,20,VA,100 FL SCY,Unattached,Tar Heel Last Chance Meet,2022 Summer Nationals (LCM),PROG.,2022
55,52.25,"Delgado, Anicka",Yes,19,US,100 FL SCY,Unattached,2022 PAC-12 WOMEN'S SWIMMING &,2022 Summer Nationals (LCM),PROG.,2022
56,52.29,"Alonso, Luana",Yes,17,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2023 Summer Nationals (LCM),PROG.,2022
57,52.3,"Sheehan, Miriam",Yes,17,IA,100 FL SCY,Dubuque Area Swimmin' Hurricanes,2022 IA Short Course Championships,2023 Summer Nationals (LCM),PROG.,2022
57,52.3,"McConagha, Mackenzie",,19,US,100 FL SCY,Unattached,2022 B1G Women's Championship,2022 Summer Nationals (LCM),PROG.,2022
59,52.33,"Dickinson, Callie",,22,GA,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2023 Summer Nationals (LCM),PROG.,2022
60,52.35,"Jernstedt, Edith",Yes,20,US,100 FL SCY,Unattached,2022 NCAA DI Women's Swimming,2022 Summer Nationals (LCM),PROG.,2022
60,52.35,"Dang, Gabby",,21,US,100 FL SCY,Unattached,2022 UCLA vs USC,2022 Summer Nationals (LCM),PROG.,2022
62,52.36,"Harrington, Sydney",,21,MD,100 FL SCY,Unattached,2022 Patriot League Championsh,2022 Summer Nationals (LCM),PROG.,2022
62,52.36,"Sim, Levenia",Yes,15,SE,100 FL SCY,TNT Swimming,2022 FL NCSA Spring Swimming Championships,2023 Summer Nationals (LCM),PROG.,2022
64,52.37,"Felner, Gracie",,20,SE,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2023 Summer Nationals (LCM),PROG.,2022
64,52.37,"Halden, Jenny",Yes,21,US,100 FL SCY,Unattached,2022 ACC Championship,2022 Summer Nationals (LCM),PROG.,2022
64,52.37,"Heimstead, Julia",,19,US,100 FL SCY,Unattached,2022 PAC-12 WOMEN'S SWIMMING &,2023 Summer Nationals (LCM),PROG.,2022
67,52.38,"Hay, Abby",,20,KY,100 FL SCY,Unattached,Purdue Invite 2021,2022 Summer Nationals (LCM),PROG.,2022
68,52.41,"Harrison, Tristan",,19,US,100 FL SCY,Unattached,2022 B1G Women's Championship,2023 Summer Nationals (LCM),PROG.,2022
69,52.42,"Venema, Nikki",,21,US,100 FL SCY,Unattached,2022 Women's Ivy League Champi,2022 Summer Nationals (LCM),PROG.,2022
70,52.43,"Bargeron, Avery",,19,SE,100 FL SCY,Unattached,Auburn University Invite,2023 Summer Nationals (LCM),PROG.,2022
71,52.49,"Peoples, Olivia",,18,FL,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
72,52.5,"Baron, Sam",,19,US,100 FL SCY,Unattached,2022 PAC-12 WOMEN'S SWIMMING &,2022 Summer Nationals (LCM),PROG.,2022
73,52.51,"Regenauer, Christiana",,20,KY,100 FL SCY,Unattached,2021 SMU Classic,2022 Summer Nationals (LCM),PROG.,2022
74,52.55,"Toh, Nicholle",Yes,20,US,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
75,52.56,"Sichterman, Megan",,22,SE,100 FL SCY,Unattached,Last Chance Meet UTK,2022 Summer Nationals (LCM),PROG.,2022
76,52.58,"Kraus, Morgan",,20,US,100 FL SCY,Unattached,2022 CSCAA National Invitational,2022 Summer Nationals (LCM),PROG.,2022
76,52.58,"Novelline, Carly",,18,IL,100 FL SCY,NASA Wildcat Aquatics,2022 FL NCSA Spring Swimming Championships,2022 Summer Nationals (LCM),PROG.,2022
78,52.59,"Johnson, Gigi",,17,GA,100 FL SCY,Unattached,2022 GA GHSA 1-5A State Swimming,2022 Summer Nationals (LCM),PROG.,2022
79,52.62,"Rees, Meredith",Yes,20,MV,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
80,52.65,"Kozan, Justina",,18,CA,100 FL SCY,Unattached,2022 CA OB CIF-SS Division 1,2022 Summer Nationals (LCM),PROG.,2022
81,52.68,"Fernandes, Aryanna",,21,US,100 FL SCY,Unattached,2022 ACC Championship,2022 Summer Nationals (LCM),PROG.,2022
82,52.69,"Tetzloff, Aly",,24,NC,100 FL SCY,Wolfpack Elite,2022 NC ESSZ Senior SC Sectional,2022 Summer Nationals (LCM),PROG.,2022
82,52.69,"Gati, Izzy",,22,US,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
82,52.69,"Carr, Abigail",,18,US,100 FL SCY,Unattached,2022 Women's Ivy League Champi,2022 Summer Nationals (LCM),PROG.,2022
85,52.7,"Parkhe, Annika",,16,IL,100 FL SCY,Patriot Aquatic Club,2022 IL SC Senior Championship,2022 Summer Nationals (LCM),PROG.,2022
86,52.71,"Hussey, Stephanie",Yes,23,US,100 FL SCY,Unattached,2022 C-USA Women's Championshi,2022 Summer Nationals (LCM),PROG.,2022
87,52.72,"Carlton, Emma",,21,SE,100 FL SCY,Unattached,Last Chance Meet UTK,2022 Summer Nationals (LCM),PROG.,2022
88,52.73,"Kaufmann, Noelle",,19,MI,100 FL SCY,Unattached,2022 B1G Women's Championship,2022 Summer Nationals (LCM),PROG.,2022
89,52.74,"Walsh, Alex",,20,VA,100 FL SCY,Unattached,VT vs UVA 2022,2022 Summer Nationals (LCM),PROG.,2022
89,52.74,"Smith, Maddie",,22,IL,100 FL SCY,Unattached,2022 B1G Women's Championship,2022 Summer Nationals (LCM),PROG.,2022
89,52.74,"Pelaez, Erika",,15,FG,100 FL SCY,Eagle Aquatics,2021 East Speedo Winter Junior,2022 Summer Nationals (LCM),PROG.,2022
92,52.78,"Lu, Sydney",,17,PC,100 FL SCY,Pleasanton Seahawks,2021 CA Dec CA NV Speedo Sectionals,2022 Summer Nationals (LCM),PROG.,2022
93,52.79,"Miranda, Julia",Yes,24,US,100 FL SCY,Unattached,2022 CSCAA National Invitational,2022 Summer Nationals (LCM),PROG.,2022
93,52.79,"Tankard, Kyleigh",,17,VA,100 FL SCY,Coast Guard Blue Dolphins,2022 VA SC Senior Championship,2022 Summer Nationals (LCM),PROG.,2022
95,52.8,"Williams, Taylor",,19,US,100 FL SCY,Unattached,2022 Mizzou NCAA Qualifier,2022 Summer Nationals (LCM),PROG.,2022
96,52.81,"Watts, Mimi",,19,US,100 FL SCY,Unattached,2022 Patriot League Championsh,2022 Summer Nationals (LCM),PROG.,2022
96,52.81,"Sansores De La Fuente, Andrea",Yes,22,US,100 FL SCY,Unattached,2022 SEC Swimming & Diving Cha,2022 Summer Nationals (LCM),PROG.,2022
96,52.81,"Podmanikova, Andrea",Yes,23,NC,100 FL SCY,Unattached,2022 ACC Championship,2022 Summer Nationals (LCM),PROG.,2022
96,52.81,"Tiltmann, Reilly",,18,VA,100 FL SCY,Unattached,2022 Cavalier Invitational,2022 Summer Nationals (LCM),PROG.,2022
100,52.82,"Crom, Katie",,18,CA,100 FL SCY,Unattached,2021 West Speedo Winter Junior,2022 Summer Nationals (LCM),PROG.,2022
1,48.89,"MacNeil, Maggie",Yes,21,MI,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
2,49.51,"Curzan, Claire",,16,NC,100 FL SCY,TAC Titans,2021 NC TAC ESSZ SC Sectional,2021 Summer Nationals (LCM),PROG.,2021
3,49.55,"Douglass, Kate",,19,VA,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
4,49.7,"Huske, Torri",,18,PV,100 FL SCY,Arlington Aquatic Club,2021 PV SC Championship Series- Wave II,2021 Summer Nationals (LCM),PROG.,2021
5,49.88,"Smith, Regan",,19,MN,100 FL SCY,Riptide,2021 MN AQJT March Invite,2021 Summer Nationals (LCM),PROG.,2021
6,50.35,"Alons, Kylee",,21,NC,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
7,50.37,"Bray, Olivia",,19,ST,100 FL SCY,Unattached,2020 Texas Hall of Fame Invite,2021 Summer Nationals (LCM),PROG.,2021
8,50.65,"Cuomo, Lexi",,19,VA,100 FL SCY,Unattached,2021 ACC Women's Championship,2021 Summer Nationals (LCM),PROG.,2021
9,50.68,"Ivey, Isabel",,20,PC,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
10,50.75,"White, Rhyan",,21,SE,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
11,51.19,"Carter, Olivia",,20,MI,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
12,51.32,"Osman, Farida",Yes,26,US,100 FL SCY,Unattached,2021 FL ISCA International Senior Meet,2021 Summer Nationals (LCM),PROG.,2021
13,51.49,"Sticklen, Emma",,18,ST,100 FL SCY,Unattached,2020 Texas Hall of Fame Invite,2021 Summer Nationals (LCM),PROG.,2021
14,51.59,"Albiero, Gabi",,19,KY,100 FL SCY,University of Louisville,2021 ACC Women's Championship,2021 Summer Nationals (LCM),PROG.,2021
15,51.6,"Gillilan, Coleen",,19,IN,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
16,51.65,"Baron, Sam",,18,US,100 FL SCY,Unattached,2021 PAC-12 WOMEN'S SWIMMING &,2021 Summer Nationals (LCM),PROG.,2021
17,51.71,"Pike, Taylor",,21,GU,100 FL SCY,Unattached,2021 Women's SEC Champs,2021 Summer Nationals (LCM),PROG.,2021
18,51.73,"Walsh, Gretchen",,17,SE,100 FL SCY,Nashville Aquatic Club,2020 SE NAC Music City Invite,2021 Summer Nationals (LCM),PROG.,2021
18,51.73,"Harter, Abby",,18,VA,100 FL SCY,Unattached,2020 UT Double Dual Finals,2021 Summer Nationals (LCM),PROG.,2021
20,51.74,"Gati, Izzy",,21,US,100 FL SCY,Unattached,2021 Women's SEC Champs,2021 Summer Nationals (LCM),PROG.,2021
21,51.77,"Rothrock, Trude",,21,SE,100 FL SCY,Unattached,2020 UT Double Dual Finals,2021 Summer Nationals (LCM),PROG.,2021
22,51.79,"Klinker, Rachel",,20,US,100 FL SCY,Unattached,2021 PAC-12 WOMEN'S SWIMMING &,2021 Summer Nationals (LCM),PROG.,2021
23,51.82,"Nava, Jessica",,20,VA,100 FL SCY,Unattached,2021 ACC Women's Championship,2021 Summer Nationals (LCM),PROG.,2021
24,51.83,"Wheal, Emma",,19,PC,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
25,51.88,"Tiltmann, Reilly",,17,WI,100 FL SCY,Unattached,2021 ACC Women's Championship,2021 Summer Nationals (LCM),PROG.,2021
25,51.88,"Schlicht, Jemma",Yes,23,US,100 FL SCY,Unattached,2021 PAC-12 WOMEN'S SWIMMING &,2021 Summer Nationals (LCM),PROG.,2021
27,51.9,"Guevara, Miriam",Yes,20,US,100 FL SCY,Unattached,2021 NCAA DI Women's Swimming,2021 Summer Nationals (LCM),PROG.,2021
28,51.94,"Gmelich, Caroline",,21,VA,100 FL SCY,Unattached,2021 ACC Women's Championship,2021 Summer Nationals (LCM),PROG.,2021
29,51.96,"Harnish, Courtney",,21,US,100 FL SCY,Unattached,Bulldog NCAA Qualifying Meet 2,2021 Summer Nationals (LCM),PROG.,2021
30,51.99,"Beil, Mallory",,20,SE,100 FL SCY,Unattached,2021 UT Last Chance,2021 Summer Nationals (LCM),PROG.,2021
